"source_folder","source_filename","dimensions","asset_category","version","figma_page","figma_section","status"
"assetsl","12-account-security-icons.png","1949x807","Account & security icon sheet","base","02 — Buyer App, Source Archive & Handoff","120 — Assets","Pending import — Figma MCP plan limit"
"assetsl","12-account-security-icons-v2.png","1949x807","Account & security icon sheet","v2 alternative","02 — Buyer App, Source Archive & Handoff","120 — Assets","Pending import — Figma MCP plan limit"
"assetsl","12-action-icons.png","1912x822","Action icon sheet","base","02 — Buyer App, Source Archive & Handoff","120 — Assets","Pending import — Figma MCP plan limit"
"assetsl","12-action-icons-v2.png","1912x822","Action icon sheet","v2 alternative","02 — Buyer App, Source Archive & Handoff","120 — Assets","Pending import — Figma MCP plan limit"
"assetsl","12-brand-assets.png","2052x766","Brand asset sheet","base","02 — Buyer App, Source Archive & Handoff","120 — Assets","Pending import — Figma MCP plan limit"
"assetsl","12-brand-assets-v2.png","2052x766","Brand asset sheet","v2 alternative","02 — Buyer App, Source Archive & Handoff","120 — Assets","Pending import — Figma MCP plan limit"
"assetsl","12-commerce-icons.png","1984x792","Commerce icon sheet","base","02 — Buyer App, Source Archive & Handoff","120 — Assets","Pending import — Figma MCP plan limit"
"assetsl","12-commerce-icons-v2.png","1984x792","Commerce icon sheet","v2 alternative","02 — Buyer App, Source Archive & Handoff","120 — Assets","Pending import — Figma MCP plan limit"
"assetsl","12-decorative-assets.png","3085x510","Decorative asset sheet","base","02 — Buyer App, Source Archive & Handoff","120 — Assets","Pending import — Figma MCP plan limit"
"assetsl","12-decorative-assets-v2.png","3085x510","Decorative asset sheet","v2 alternative","02 — Buyer App, Source Archive & Handoff","120 — Assets","Pending import — Figma MCP plan limit"
"assetsl","12-design-tokens.png","1942x810","Token reference sheet","base","02 — Buyer App, Source Archive & Handoff","120 — Assets","Pending import — Figma MCP plan limit"
"assetsl","12-design-tokens-v2.png","1942x810","Token reference sheet","v2 alternative","02 — Buyer App, Source Archive & Handoff","120 — Assets","Pending import — Figma MCP plan limit"
"assetsl","12-navigation-icons.png","1862x845","Navigation icon sheet","base","02 — Buyer App, Source Archive & Handoff","120 — Assets","Pending import — Figma MCP plan limit"
"assetsl","12-navigation-icons-v2.png","1862x845","Navigation icon sheet","v2 alternative","02 — Buyer App, Source Archive & Handoff","120 — Assets","Pending import — Figma MCP plan limit"
"assetsl","12-product-reference-images.png","2940x535","Product reference sheet","base","02 — Buyer App, Source Archive & Handoff","120 — Assets","Pending import — Figma MCP plan limit"
"assetsl","12-state-illustrations.png","3002x524","State illustration sheet","base","02 — Buyer App, Source Archive & Handoff","120 — Assets","Pending import — Figma MCP plan limit"
"assetsl","12-state-illustrations-v2.png","3002x524","State illustration sheet","v2 alternative","02 — Buyer App, Source Archive & Handoff","120 — Assets","Pending import — Figma MCP plan limit"
"assetsl","12-status-badges.png","2624x599","Status badge sheet","base","02 — Buyer App, Source Archive & Handoff","120 — Assets","Pending import — Figma MCP plan limit"
"assetsl","12-status-badges-v2.png","2624x599","Status badge sheet","v2 alternative","02 — Buyer App, Source Archive & Handoff","120 — Assets","Pending import — Figma MCP plan limit"
"assetsl","12-support-system-icons.png","2277x690","Support & system icon sheet","base","02 — Buyer App, Source Archive & Handoff","120 — Assets","Pending import — Figma MCP plan limit"
"assetsl","12-support-system-icons-v2.png","2277x690","Support & system icon sheet","v2 alternative","02 — Buyer App, Source Archive & Handoff","120 — Assets","Pending import — Figma MCP plan limit"
