"source_index","source_folder","source_relative_path","source_filename","file_extension","width","height","file_size_bytes","language_guess","feature_guess","state_guess","variant_guess","figma_target_page","figma_target_section","import_status","figma_node_id","error"
"1","00-foundation","00-foundation/00-brand-essence-color-typography-summary.png","00-brand-essence-color-typography-summary.png","png","1536","1024","1637589","Neutral","00-foundation","Default","Neutral","01 â€” Foundations & Variables","ARCHIVE / 00-foundation","IMPORTED","6:3",""
"2","00-foundation","00-foundation/00-brand-moodboard-ui-kit-overview.png","00-brand-moodboard-ui-kit-overview.png","png","1122","1402","1702417","Neutral","00-foundation","Default","Neutral","01 â€” Foundations & Variables","ARCHIVE / 00-foundation","IMPORTED","12:2",""
"3","00-foundation","00-foundation/00-controls-form-components-icons.png","00-controls-form-components-icons.png","png","1122","1402","1499068","Neutral","00-foundation","Default","Default","01 â€” Foundations & Variables","ARCHIVE / 00-foundation","IMPORTED","14:2",""
"4","00-foundation","00-foundation/00-design-system-10-section-overview.png","00-design-system-10-section-overview.png","png","1536","1024","1409130","Neutral","00-foundation","Default","Default","01 â€” Foundations & Variables","ARCHIVE / 00-foundation","IMPORTED","14:3",""
"5","00-foundation","00-foundation/00-design-system-tokens-components-sheet.png","00-design-system-tokens-components-sheet.png","png","1122","1402","1428120","Neutral","00-foundation","Default","Default","01 â€” Foundations & Variables","ARCHIVE / 00-foundation","IMPORTED","14:4",""
"6","00-foundation","00-foundation/00-full-foundation-with-screen-previews.png","00-full-foundation-with-screen-previews.png","png","1536","1024","1709914","Neutral","00-foundation","Default","Default","01 â€” Foundations & Variables","ARCHIVE / 00-foundation","IMPORTED","14:5",""
"7","00-foundation","00-foundation/00-navigation-layout-component-board.png","00-navigation-layout-component-board.png","png","1122","1402","1377714","Neutral","00-foundation","Default","Neutral","01 â€” Foundations & Variables","ARCHIVE / 00-foundation","IMPORTED","17:2",""
"8","00-foundation","00-foundation/00-product-commerce-component-board.png","00-product-commerce-component-board.png","png","1122","1402","1300663","Neutral","00-foundation","Default","Neutral","01 â€” Foundations & Variables","ARCHIVE / 00-foundation","IMPORTED","17:3",""
"9","00-foundation","00-foundation/00-ui-states-feedback-patterns.png","00-ui-states-feedback-patterns.png","png","1122","1402","1512815","Neutral","00-foundation","Default","Default","01 â€” Foundations & Variables","ARCHIVE / 00-foundation","IMPORTED","17:4",""
"10","01-entry","01-entry/01-language-selection-french-arabic.png","01-language-selection-french-arabic.png","png","941","1672","1461612","Arabic","01-entry","Default","Arabic","10 â€” Entry","ARCHIVE / 01-entry","IMPORTED","18:3",""
"11","01-entry","01-entry/01-loading-screen-preparing-experience.png","01-loading-screen-preparing-experience.png","png","941","1672","1156311","Neutral","01-entry","Loading","Neutral","10 â€” Entry","ARCHIVE / 01-entry","IMPORTED","18:4",""
"12","01-entry","01-entry/01-onboarding-step1-discover-interior-ar.png","01-onboarding-step1-discover-interior-ar.png","png","941","1672","1998024","Arabic","01-entry","Default","Arabic","10 â€” Entry","ARCHIVE / 01-entry","IMPORTED","18:6",""
"13","01-entry","01-entry/01-onboarding-step1-discover-interior-fr.png","01-onboarding-step1-discover-interior-fr.png","png","941","1672","1991694","French","01-entry","Default","French","10 â€” Entry","ARCHIVE / 01-entry","IMPORTED","18:5",""
"14","01-entry","01-entry/01-onboarding-step2-choose-with-confidence-ar.png","01-onboarding-step2-choose-with-confidence-ar.png","png","941","1672","1953654","Arabic","01-entry","Default","Arabic","10 â€” Entry","ARCHIVE / 01-entry","IMPORTED","18:8",""
