"contract_id","source_filename","feature","screen_or_state","classification","guest_or_authenticated","trigger","http_method","endpoint","request_headers","request_query","request_body_type","response_type","success_condition","known_error_conditions","loading_state","empty_state","retry_allowed","server_authoritative_fields","unsupported_fields","verification_status","source_code_reference","notes"
"SCR-DIS-001","02-discovery/02-home-hero-new-arrivals-best-sellers-fr.png","Discovery","Home Screen","PRIMARY_SCREEN","Guest","Screen Mount","GET","/api/v2/sliders","App-Language: fr|ar","None","None","SliderCollection","200 OK","500 Server Error","Skeleton Loader","N/A","Yes","Banner URLs","N/A","VERIFIED","app/Http/Controllers/Api/V2/SliderController.php","Public home banners"
"SCR-DIS-001","02-discovery/02-home-hero-new-arrivals-best-sellers-fr.png","Discovery","Home Screen","PRIMARY_SCREEN","Guest","Screen Mount","GET","/api/v2/categories/featured","App-Language: fr|ar","None","None","CategoryCollection","200 OK","500 Server Error","Skeleton Loader","Empty Array","Yes","Category List","N/A","VERIFIED","app/Http/Controllers/Api/V2/CategoryController.php","Featured categories grid"
"SCR-DIS-001","02-discovery/02-home-hero-new-arrivals-best-sellers-fr.png","Discovery","Home Screen","PRIMARY_SCREEN","Guest","Screen Mount","GET","/api/v2/products/todays-deal","App-Language: fr|ar","None","None","ProductMiniCollection","200 OK","500 Server Error","Skeleton Loader","Empty Array","Yes","Prices; Stock","N/A","VERIFIED","app/Http/Controllers/Api/V2/ProductController.php","Today's deals section"
"SCR-DIS-001","02-discovery/02-home-hero-new-arrivals-best-sellers-fr.png","Discovery","Home Screen","PRIMARY_SCREEN","Guest","Screen Mount","GET","/api/v2/products/best-seller","App-Language: fr|ar","None","None","ProductMiniCollection","200 OK","500 Server Error","Skeleton Loader","Empty Array","Yes","Prices; Stock","N/A","VERIFIED","app/Http/Controllers/Api/V2/ProductController.php","Best sellers section"
"SCR-DIS-002","02-discovery/02-categories-photo-grid-fr.png","Discovery","Categories Screen","PRIMARY_SCREEN","Guest","Screen Mount","GET","/api/v2/categories","App-Language: fr|ar","parent_id=0","None","CategoryCollection","200 OK","500 Server Error","Skeleton Grid","Empty Array","Yes","Category Hierarchy","N/A","VERIFIED","app/Http/Controllers/Api/V2/CategoryController.php","Root category list"
"SCR-DIS-003","02-discovery/02-subcategory-canapes-filtered-list.png","Discovery","Category Product List","PRIMARY_SCREEN","Guest","Category Select","GET","/api/v2/products/category/{slug}","App-Language: fr|ar","None","None","ProductMiniCollection","200 OK","404 Not Found","Skeleton List","Empty List","Yes","Prices; Stock; Pagination","N/A","VERIFIED","app/Http/Controllers/Api/V2/ProductController.php","Filtered products list"
"SCR-PRD-001","03-product/03-product-detail-image-carousel-add-to-cart.png","Product","Product Details","PRIMARY_SCREEN","Guest","Product Tap","GET","/api/v2/products/{id}","App-Language: fr|ar","None","None","ProductDetailCollection","200 OK","404 Not Found","Skeleton Details","N/A","Yes","Base Price; Tax; Stock; Images","N/A","VERIFIED","app/Http/Controllers/Api/V2/ProductController.php","Full product detail"
"SCR-PRD-002","03-product/03-product-variant-selector-color-material-size.png","Product","Variant Selector","BOTTOM_SHEET","Guest","Option Tap","POST","/api/v2/products/variant/price","App-Language: fr|ar","None","JSON","VariantPriceResponseDto","result == true","404 Variant Not Found","Inline Spinner","N/A","Yes","Calculated Variant Price; Stock Qty","N/A","VERIFIED","app/Http/Controllers/Api/V2/ProductController.php","Recalculates price and stock"
"SCR-PRD-003","03-product/03-product-added-to-cart-confirmation.png","Product","Add To Cart","BOTTOM_SHEET","Guest","CTA Tap","POST","/api/v2/carts/add","App-Language: fr|ar","None","JSON","AddToCartResponseDto","result == true","422 Stock Out; 404 Variant Error","Button Loading","N/A","Yes","temp_user_id; Stock Limits","N/A","VERIFIED","app/Http/Controllers/Api/V2/CartController.php","Adds item to guest or user cart"
"SCR-CRT-001","05-cart-wishlist/05-cart-items-promo-code-summary-fr.png","Cart","Cart Screen","PRIMARY_SCREEN","Guest","Cart Tap","POST","/api/v2/carts","App-Language: fr|ar","None","JSON","CartResponseDto","200 OK","500 Server Error","Skeleton Cart","SCR-CRT-002","Yes","Seller Groups; Item Prices; Tax","N/A","VERIFIED","app/Http/Controllers/Api/V2/CartController.php","Active cart list"
"SCR-CRT-001","05-cart-wishlist/05-cart-items-promo-code-summary-fr.png","Cart","Cart Summary","PRIMARY_SCREEN","Guest","Cart Load","POST","/api/v2/cart-summary","App-Language: fr|ar","None","JSON","CartSummaryDto","200 OK","422 Invalid Product","Summary Skeleton","N/A","Yes","Subtotal; Tax; Shipping; Discount; Grand Total","N/A","VERIFIED","app/Http/Controllers/Api/V2/CartController.php","Authoritative totals"
"SCR-CRT-001","05-cart-wishlist/05-cart-items-promo-code-summary-fr.png","Cart","Apply Coupon","PRIMARY_SCREEN","Guest","Apply Coupon CTA","POST","/api/v2/coupon-apply","App-Language: fr|ar","None","JSON","CouponApplyResponseDto","result == true","422 Invalid/Expired Coupon","Input Loading","N/A","Yes","Discount Amount; Cart Totals","N/A","VERIFIED","app/Http/Controllers/Api/V2/CartController.php","Applies coupon code to active cart"
"SCR-CRT-001","05-cart-wishlist/05-cart-items-promo-code-summary-fr.png","Cart","Remove Coupon","PRIMARY_SCREEN","Guest","Remove Coupon CTA","POST","/api/v2/coupon-remove","App-Language: fr|ar","None","JSON","ApiResponseDto","result == true","422 Coupon Not Found","Spinner","N/A","Yes","Restored Cart Totals","N/A","VERIFIED","app/Http/Controllers/Api/V2/CartController.php","Removes active coupon from cart"
"SCR-CRT-003","05-cart-wishlist/05-cart-quantity-update-toast-fr.png","Cart","Quantity Update","TOAST","Guest","Qty Change","POST","/api/v2/carts/change-quantity","App-Language: fr|ar","None","JSON","ApiResponseDto","result == true","200 Max Qty Reached","Spinner Toast","N/A","Yes","Updated Qty Limit","N/A","VERIFIED","app/Http/Controllers/Api/V2/CartController.php","Single item quantity change"
"SCR-CRT-004","05-cart-wishlist/05-cart-remove-item-confirmation-dialog-fr.png","Cart","Remove Item","DIALOG","Guest","Confirm Delete","DELETE","/api/v2/carts/{id}","App-Language: fr|ar","None","None","ApiResponseDto","result == true","404 Item Not Found","Dialog Loading","N/A","Yes","Deleted Cart Row","N/A","VERIFIED","app/Http/Controllers/Api/V2/CartController.php","Removes cart item"
"SCR-ATH-002","04-auth/04-login-email-phone-password-fr.png","Auth Gate","Customer Login","PRIMARY_SCREEN","Guest","Submit Form","POST","/api/v2/auth/login","App-Language: fr|ar","None","JSON","AuthResponseDto","result == true","401 Unauthorized; 401 Banned","Button Loading","N/A","Yes","Access Token; Cart Merge","N/A","VERIFIED","app/Http/Controllers/Api/V2/AuthController.php","Authenticates and merges cart"
"SCR-ATH-003","04-auth/04-registration-form-fr.png","Auth Gate","Customer Signup","PRIMARY_SCREEN","Guest","Submit Form","POST","/api/v2/auth/signup","App-Language: fr|ar","None","JSON","AuthResponseDto","result == true","422 Email Taken; 422 Validation Error","Button Loading","N/A","Yes","Access Token; Cart Merge","N/A","VERIFIED","app/Http/Controllers/Api/V2/AuthController.php","Registers and merges cart"
"SCR-ATH-004","04-auth/04-otp-phone-verification-fr.png","Auth Gate","OTP Verification","SCREEN_STATE","Authenticated","Submit OTP Code","POST","/api/v2/auth/confirm_code","App-Language: fr|ar; Authorization: Bearer <token>","None","JSON","AuthResponseDto","result == true","422 Invalid Code; 401 Unauthorized","Button Loading","N/A","Yes","User Verification Status","N/A","VERIFIED","app/Http/Controllers/Api/V2/AuthController.php","Confirms OTP verification code"
"SCR-ATH-004","04-auth/04-otp-phone-verification-fr.png","Auth Gate","Resend OTP","SCREEN_STATE","Authenticated","Resend Code Tap","GET","/api/v2/auth/resend_code","App-Language: fr|ar; Authorization: Bearer <token>","None","None","ApiResponseDto","result == true","429 Rate Limit; 401 Unauthorized","Toast Spinner","N/A","Yes","Resend Status","N/A","VERIFIED","app/Http/Controllers/Api/V2/AuthController.php","Resends OTP verification code"
"SCR-CHK-001","06-checkout/06-choose-address-saved-list-fr.png","Checkout","Select Address","PRIMARY_SCREEN","Authenticated","Checkout Start","GET","/api/v2/user/shipping/address","App-Language: fr|ar; Authorization: Bearer <token>","None","None","AddressCollection","200 OK","401 Unauthenticated","Skeleton List","Empty Address","Yes","Saved Addresses","N/A","VERIFIED","app/Http/Controllers/Api/V2/AddressController.php","Lists user shipping addresses"
"SCR-CHK-001","06-checkout/06-choose-address-saved-list-fr.png","Checkout","Save Address to Cart","PRIMARY_SCREEN","Authenticated","Address Select","POST","/api/v2/update-address-in-cart","App-Language: fr|ar; Authorization: Bearer <token>","None","JSON","ApiResponseDto","result == true","422 Address Missing","Button Loading","N/A","Yes","Cart Address Association","N/A","VERIFIED","app/Http/Controllers/Api/V2/AddressController.php","Links address ID to active cart"
"SCR-CHK-002","06-checkout/06-add-new-address-form-fr.png","Checkout","Add New Address","PRIMARY_SCREEN","Authenticated","Submit Address","POST","/api/v2/user/shipping/create","App-Language: fr|ar; Authorization: Bearer <token>","None","JSON","ApiResponseDto","result == true","422 Validation Error; 401 Unauthenticated","Button Loading","N/A","Yes","Saved Address ID","N/A","VERIFIED","app/Http/Controllers/Api/V2/AddressController.php","Creates new shipping address for user"
