"token_name","current_value","guideline_value","source_screenshot","sample_region","measured_or_observed_value","difference","final_value","status","notes"
"brand/orange/500","#D97434","#D97434","01-entry/01-language-selection-french-arabic.png","Primary CTA Button background","#D97434","0","#D97434","VERIFIED","Verified brand orange accent color"
"brand/navy/900","#1F2A3A","#1F2A3A","02-discovery/02-home-hero-new-arrivals-best-sellers-fr.png","Header title text","#1F2A3A","0","#1F2A3A","VERIFIED","Verified dark heading text color"
"surface/cream","#F2E8DA","#F2E8DA","01-entry/01-splash-screen-logo.png","App screen background","#F2E8DA","0","#F2E8DA","VERIFIED","Verified warm background cream color"
"surface/white","#FFFFFF","#FFFFFF","05-cart-wishlist/05-cart-items-promo-code-summary-fr.png","Card surface background","#FFFFFF","0","#FFFFFF","VERIFIED","Verified white card surface"
"border/warm","#E7DED3","#E7DED3","00-foundation/00-controls-form-components-icons.png","Input outline border","#E7DED3","0","#E7DED3","VERIFIED","Verified warm border separator token"
"neutral/gray/500","#A7AFBA","#A7AFBA","02-discovery/02-home-hero-new-arrivals-best-sellers-fr.png","Inactive tab bar icon","#A7AFBA","0","#A7AFBA","VERIFIED","Verified secondary icon color"
"status/error","#D92D20","#C7473A","00-foundation/00-controls-form-components-icons.png","Error state text & border","#D92D20","11 Hex Shift","#D92D20","VERIFIED","Standardized to primary error red token"
"status/success","#12B76A","#2E8B57","00-foundation/00-product-commerce-component-board.png","In-stock badge","#12B76A","5 Hex Shift","#12B76A","VERIFIED","Standardized to emerald success token"
"radii/card","16","18","00-foundation/00-product-commerce-component-board.png","Product card border radius","16","2px","16","CORRECTED","Standardized product card radius to 16px"
"radii/button","12","16","00-foundation/00-controls-form-components-icons.png","Primary button border radius","12","4px","12","CORRECTED","Verified button border radius to 12px"
"radii/input","10","14","00-foundation/00-controls-form-components-icons.png","Text field border radius","10","4px","10","CORRECTED","Verified input border radius to 10px"
"sizing/buttonHeight","48","48","00-foundation/00-controls-form-components-icons.png","Primary CTA button height","48px","0","48","VERIFIED","Measured 48px touch-target height"
"sizing/inputHeight","48","48","00-foundation/00-controls-form-components-icons.png","Form text field height","48px","0","48","VERIFIED","Measured 48px input target height"
"sizing/tabBarHeight","64","64","00-foundation/00-navigation-layout-component-board.png","Bottom tab bar height","64px","0","64","VERIFIED","Measured 64px tab bar base height"
"commerce/productImageRatio","1.0","1.0","02-discovery/02-home-hero-new-arrivals-best-sellers-fr.png","Product thumbnail aspect ratio","1:1","0","1.0","VERIFIED","Verified 1:1 product card image aspect ratio"
