"screen","icon_role","source_screenshot","source_description","runtime_asset","icon_family","size","stroke_width","color","status","notes"
"Splash","Brand Logo","01-entry/01-splash-screen-logo.png","Mayush furniture logo wordmark","assets/brand/logo.png","Image Vector","140x40","N/A","Navy/Orange","EXACT","Official brand logo asset"
"Language","Radio Select","01-entry/01-language-selection-french-arabic.png","Circular radio selection checkmark","SVG Path","Custom SVG","20","2","Primary Orange","EXACT","Selected language indicator"
"Home","Search Icon","02-discovery/02-home-hero-new-arrivals-best-sellers-fr.png","Magnifying glass inside search bar","SVG Path","Custom SVG","20","2","Gray 500","EXACT","Left search input icon"
"Home","Header Cart","02-discovery/02-home-hero-new-arrivals-best-sellers-fr.png","Shopping bag icon with badge","SVG Path","Custom SVG","24","2","Deep Navy","EXACT","Top header cart trigger"
"Home","Tab Accueil","02-discovery/02-home-hero-new-arrivals-best-sellers-fr.png","Home outline/solid icon","SVG Path","Custom SVG","24","2","Active Orange / Inactive Gray","EXACT","Bottom navigation tab 1"
"Home","Tab Catégories","02-discovery/02-home-hero-new-arrivals-best-sellers-fr.png","Grid icon","SVG Path","Custom SVG","24","2","Active Orange / Inactive Gray","EXACT","Bottom navigation tab 2"
"Home","Tab Favoris","02-discovery/02-home-hero-new-arrivals-best-sellers-fr.png","Heart icon","SVG Path","Custom SVG","24","2","Active Orange / Inactive Gray","EXACT","Bottom navigation tab 3"
"Home","Tab Panier","02-discovery/02-home-hero-new-arrivals-best-sellers-fr.png","Shopping bag icon","SVG Path","Custom SVG","24","2","Active Orange / Inactive Gray","EXACT","Bottom navigation tab 4"
"Home","Tab Compte","02-discovery/02-home-hero-new-arrivals-best-sellers-fr.png","User profile icon","SVG Path","Custom SVG","24","2","Active Orange / Inactive Gray","EXACT","Bottom navigation tab 5"
"Product Details","Back Arrow","03-product/03-product-detail-image-carousel-add-to-cart.png","Left arrow (LTR) / Right arrow (RTL)","SVG Path","Custom SVG","24","2","Deep Navy","EXACT","Direction-aware back navigation"
"Product Details","Heart Wishlist","03-product/03-product-detail-image-carousel-add-to-cart.png","Favorite heart toggle button","SVG Path","Custom SVG","24","2","Deep Navy","EXACT","Product favorite button"
"Variant Sheet","Close Handle","03-product/03-product-variant-selector-color-material-size.png","Sheet pull bar & close X","SVG Path","Custom SVG","24","2","Deep Navy","EXACT","Bottom sheet header controls"
