"screen_contract","source_screenshot","viewport_width","viewport_height","element_name","x","y","width","height","padding_top","padding_right","padding_bottom","padding_left","gap","radius","border","shadow","font_role","font_size","line_height","icon_size","image_ratio","notes"
"SCR-ENT-001","01-entry/01-splash-screen-logo.png","393","852","Splash Container","0","0","393","852","0","0","0","0","0","0","0","none","N/A","0","0","0","N/A","MEASURED - Warm cream background #F2E8DA"
"SCR-ENT-001","01-entry/01-splash-screen-logo.png","393","852","Brand Logo","126","406","140","40","0","0","0","0","0","0","0","none","N/A","0","0","0","3.5:1","MEASURED - Centered Mayush logo"
"SCR-ENT-002","01-entry/01-language-selection-french-arabic.png","393","852","Header Title","20","80","353","36","0","0","0","0","0","0","0","none","pageTitle","24","32","0","N/A","MEASURED - Deep Navy text #1F2A3A"
"SCR-ENT-002","01-entry/01-language-selection-french-arabic.png","393","852","Language Card FR","20","200","353","72","16","16","16","16","12","16","1px #E7DED3","subtle","cardTitle","17","24","20","N/A","MEASURED - French option card"
"SCR-ENT-002","01-entry/01-language-selection-french-arabic.png","393","852","Language Card AR","20","288","353","72","16","16","16","16","12","16","1px #E7DED3","subtle","cardTitle","17","24","20","N/A","MEASURED - Arabic option card"
"SCR-ENT-002","01-entry/01-language-selection-french-arabic.png","393","852","Continue CTA","20","740","353","48","0","0","0","0","0","12","0","none","button","15","22","0","N/A","MEASURED - Primary orange button #D97434"
"SCR-DIS-001","02-discovery/02-home-hero-new-arrivals-best-sellers-fr.png","393","852","Header Bar","0","44","393","60","10","20","10","20","12","0","0","none","N/A","0","0","24","N/A","MEASURED - App header with logo & search"
"SCR-DIS-001","02-discovery/02-home-hero-new-arrivals-best-sellers-fr.png","393","852","Hero Slider","20","116","353","180","0","0","0","0","0","16","0","subtle","N/A","0","0","0","1.96:1","MEASURED - Hero banner carousel"
"SCR-DIS-001","02-discovery/02-home-hero-new-arrivals-best-sellers-fr.png","393","852","Product Card Mini","20","420","160","240","12","12","12","12","8","16","1px #E7DED3","subtle","cardTitle","15","20","0","1:1","MEASURED - 1:1 image thumbnail card"
"SCR-DIS-001","02-discovery/02-home-hero-new-arrivals-best-sellers-fr.png","393","852","Bottom Tab Bar","0","788","393","64","8","0","8","0","0","0","1px #E7DED3","subtle","caption","11","15","24","N/A","MEASURED - 5-buyer-tab bar"
"SCR-DIS-002","02-discovery/02-categories-photo-grid-fr.png","393","852","Category Card","20","140","164","164","12","12","12","12","8","16","1px #E7DED3","subtle","cardTitle","15","20","0","1:1","MEASURED - Category photo grid item"
"SCR-DIS-003","02-discovery/02-subcategory-canapes-filtered-list.png","393","852","Sort Filter Bar","0","120","393","44","8","20","8","20","12","0","1px #E7DED3","none","smallBody","13","18","16","N/A","MEASURED - Filter bar above product list"
"SCR-PRD-001","03-product/03-product-detail-image-carousel-add-to-cart.png","393","852","Product Gallery","0","0","393","393","0","0","0","0","0","0","0","none","N/A","0","0","0","1:1","MEASURED - Full-width 1:1 gallery"
"SCR-PRD-001","03-product/03-product-detail-image-carousel-add-to-cart.png","393","852","Sticky Add To Cart","0","772","393","80","16","20","16","20","12","0","1px #E7DED3","strong","button","15","22","0","N/A","MEASURED - Sticky bottom add-to-cart bar"
"SCR-PRD-002","03-product/03-product-variant-selector-color-material-size.png","393","852","Variant Sheet Modal","0","350","393","502","20","20","20","20","16","24","0","heavy","sectionTitle","20","28","24","N/A","MEASURED - Bottom sheet container"
