
  Migration name  Batch / Status  
  2014_10_12_000000_create_users_table  [1] Ran  
  2014_10_12_100000_create_password_resets_table  [1] Ran  
  2019_10_13_000000_create_social_credentials_table  [2] Ran  
  2019_12_14_000001_create_personal_access_tokens_table  [3] Ran  
  2021_06_07_000000_create_payku_transactions_table  [4] Ran  
  2021_06_07_000001_create_payku_payments_table  [5] Ran  
  2021_12_15_000000_add_new_columns_to_tables  [4] Ran  
  2022_01_01_000001_create_categories_table  [6] Ran  
  2022_01_01_000002_create_category_translations_table  [7] Ran  
  2022_01_01_000002_create_orders_table  [17] Ran  
  2022_01_01_000003_create_missing_tables  [8] Ran  
  2022_01_01_000004_create_otp_configurations_table  [17] Ran  
  2022_06_29_075906_create_product_queries_table  [4] Ran  
  2024_01_01_000001_create_email_verification_attempts_table  [9] Ran  
  2024_01_01_000002_create_audit_logs_table  [9] Ran  
  2026_03_03_104703_add_abandoned_reminder_sent_to_orders_table  [9] Ran  
  2026_03_03_114304_add_fulltext_index_to_products_table  [9] Ran  
  2026_03_03_114449_create_jobs_table  [9] Ran  
  2026_03_07_161339_create_semantic_embeddings_table  [10] Ran  
  2026_03_08_133951_create_visitor_metrics_table  [11] Ran  
  2026_03_08_133953_create_health_metrics_table  [11] Ran  
  2026_03_08_170709_add_geo_and_navigation_to_analytics_visitors  [12] Ran  
  2026_03_08_172711_add_utm_to_visitor_metrics  [12] Ran  
  2026_03_08_173451_add_optimization_indexes_to_analytics  [13] Ran  
  2026_03_11_000001_create_refund_requests_table  [15] Ran  
  2026_03_11_125619_create_failed_jobs_table  [14] Ran  
  2026_03_12_112710_optimize_analytics_tables  [16] Ran  
  2026_03_17_112109_add_missing_columns_to_products_table  [17] Ran  
  2026_03_17_115948_add_missing_columns_to_orders_table  [17] Ran  
  2026_03_17_144342_add_is_intern_to_users_table  [17] Ran  
  2026_03_17_152235_create_promotions_table  [18] Ran  
  2026_03_17_160000_remove_promotion_limit_column  [19] Ran  
  2026_03_25_160001_encrypt_existing_pii  [19] Ran  
  2026_03_25_160002_encrypt_existing_financial_data  [19] Ran  
  2026_03_25_225600_expand_encrypted_columns  [20] Ran  
  2026_03_26_120759_add_elite_fields_to_shops_table  [21] Ran  
  2026_03_26_121504_create_elite_subscriptions_table  [22] Ran  
  2026_03_27_100000_add_payment_fields_to_elite_subscriptions_table  [23] Ran  
  2026_03_29_144359_add_num_of_view_to_products_table  [24] Ran  
  2026_03_31_130711_create_product_views_table  [25] Ran  
  2026_03_31_151532_create_inventory_logs_table  [25] Ran  
  2026_03_31_172315_add_source_to_frequently_bought_products_table  [25] Ran  

